method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,run_dir
gls_map,3.642806917926731,6.165110814717018,0.0842968202339128,PeMS7_228,0.1,23,205,random,26,20,2026,,361.86451235571775,1588.734724376132,108.58334199560328,seed_20
historical_tod_mean,3.926948424796749,6.744869693642593,0.0951764066201335,PeMS7_228,0.1,23,205,random,27,20,2026,,,,,seed_20
neighbor_average,7.192639735772359,11.030308240203828,0.1952863897371517,PeMS7_228,0.1,23,205,random,27,20,2026,,,,,seed_20
gsp,3.972033386229578,6.57409471726162,0.0931885680300179,PeMS7_228,0.1,23,205,random,27,20,2026,,19.22114661115804,155.65424753050186,661.3410783557808,seed_20
gls_map,3.6338976734046486,6.0160989194089485,0.0870532597800004,PeMS7_228,0.1,23,205,random,27,20,2026,,361.9383929790724,1463.4336728756973,110.33006732396004,seed_20
historical_tod_mean,3.89046752201897,6.67966943973295,0.0925576910620232,PeMS7_228,0.1,23,205,random,28,20,2026,,,,,seed_20
neighbor_average,7.917083333333334,11.56417957356143,0.1916742581650461,PeMS7_228,0.1,23,205,random,28,20,2026,,,,,seed_20
gsp,3.975539223763083,6.493547632582941,0.0911520056171781,PeMS7_228,0.1,23,205,random,28,20,2026,,19.21748011891744,157.73398938832776,661.2908590144016,seed_20
gls_map,3.7064954683080136,6.053719841316035,0.0845537445932967,PeMS7_228,0.1,23,205,random,28,20,2026,,368.2398617082853,1674.3982508497752,110.49701512161512,seed_20
historical_tod_mean,3.866844512195121,6.58282533385617,0.0930794472077663,PeMS7_228,0.1,23,205,random,29,20,2026,,,,,seed_20
neighbor_average,7.829172030261968,12.036234097194695,0.1985079975345738,PeMS7_228,0.1,23,205,random,29,20,2026,,,,,seed_20
gsp,4.00404108077391,6.452761140167858,0.0942508701324532,PeMS7_228,0.1,23,205,random,29,20,2026,,19.216014479360037,161.80370336591542,661.2636339825158,seed_20
gls_map,3.804854634308666,6.117256931065277,0.091683321820706,PeMS7_228,0.1,23,205,random,29,20,2026,,367.74823543862215,2010.8671723414077,109.9742365877087,seed_20
historical_tod_mean,3.88304823001355,6.680462681168505,0.0938742266910033,PeMS7_228,0.1,23,205,random,30,20,2026,,,,,seed_20
neighbor_average,7.173671239837398,11.09609536652159,0.1876376449766514,PeMS7_228,0.1,23,205,random,30,20,2026,,,,,seed_20
gsp,3.937126266600236,6.461118001100929,0.0928993188298183,PeMS7_228,0.1,23,205,random,30,20,2026,,19.21792927322541,161.9272998884309,661.3128236614681,seed_20
gls_map,3.769500860635566,6.129057808169391,0.0889456621131623,PeMS7_228,0.1,23,205,random,30,20,2026,,379.7892422969609,2608.800705211528,109.96152752951188,seed_20
historical_tod_mean,3.9269454607046073,6.745979015722496,0.0947545782123262,PeMS7_228,0.1,23,205,random,31,20,2026,,,,,seed_20
neighbor_average,7.566365176151761,11.482374181973997,0.1924308094461027,PeMS7_228,0.1,23,205,random,31,20,2026,,,,,seed_20
gsp,3.931309991049916,6.577959922527772,0.0931122848334742,PeMS7_228,0.1,23,205,random,31,20,2026,,19.21828346916616,160.25832552809914,661.2723086614702,seed_20
gls_map,3.739189845814724,6.17704803195794,0.0891242544114534,PeMS7_228,0.1,23,205,random,31,20,2026,,379.91779413064114,2155.2727710421173,110.24340822024205,seed_20
historical_tod_mean,3.9229677760840103,6.728351135649383,0.0946855494443185,PeMS7_228,0.1,23,205,random,32,20,2026,,,,,seed_20
neighbor_average,7.802209801264678,11.790469812951368,0.1942935068418601,PeMS7_228,0.1,23,205,random,32,20,2026,,,,,seed_20
gsp,3.899826883383341,6.502714235739648,0.0930727628999584,PeMS7_228,0.1,23,205,random,32,20,2026,,19.21829791807007,162.04656686864857,661.338192733754,seed_20
gls_map,3.6020876103626938,6.027581778353102,0.085956826235179,PeMS7_228,0.1,23,205,random,32,20,2026,,372.0221573518383,1563.985492626794,109.31234176571635,seed_20
historical_tod_mean,3.8701460027100256,6.661798795139969,0.0921478977084785,PeMS7_228,0.1,23,205,random,33,20,2026,,,,,seed_20
neighbor_average,7.86878585140018,11.862423168055576,0.1882890771840683,PeMS7_228,0.1,23,205,random,33,20,2026,,,,,seed_20
