budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,robust_coverage_cvar,10,0,3.6689857742133163,0.3102426720700797,,,360.16392386739506,4.263293672251724,,,204.54541483422332,13.615637771494768,,,1602.0398882203697,114.7829264343174,,,0.051348382166488335,0.0016742211307158269,,,0.26817691805502875,0.10837035967433382,,
0.1,scenario_average_a_trace,10,0,3.6058480040152636,0.2990276205162339,,,352.2981643984768,5.5862266201489295,,,205.31280002336,11.906478011030579,,,1519.0103717306995,203.72783402795932,,,0.06084181634118206,0.00657515637961818,,,0.21782370997398645,0.10106533724657212,,
0.1,scenario_cvar_a_trace,10,0,3.6677122630227417,0.2828349710834687,,,359.65702923660285,4.268685916564904,,,198.25160450115087,12.967648148045242,,,1617.8554830673277,121.37903078656774,,,0.0651797428888818,0.005617769424605693,,,0.2738661626726407,0.06630970622345682,,
0.1,swap_from_best_random_trace,9,1,3.4484196767211657,0.31696569745495673,3.053443210897272,,329.902219429003,1.4346370878339163,328.97581500577195,,236.6849922329406,17.149193353477862,244.57588080395035,,1338.0195509010678,120.08979159911989,1276.0620824885243,,0.05133475043760803,0.0018328502603950584,0.0520017655399116,,0.07344449132828905,0.0517810767802683,0.0,
0.1,swap_from_greedy_a_trace,10,2,3.450067237292875,0.2512763079560259,3.49820414201882,0.27729034865860835,329.644573322367,1.3627805744538724,329.41479389804573,0.5797176232687623,233.22758625468882,20.47893316776,242.97547695776163,14.958450588851884,1296.7733311166462,79.60386309960963,1220.5433690352445,12.813790368381945,0.05187144015093773,0.002137062676762167,0.0520458958921731,0.0038876707137165236,0.06642659925225214,0.05422910914888743,0.0,0.0
0.1,swap_from_scenario_average,10,3,3.4462072892243363,0.26594190733804995,3.4035472475116513,0.40340009816297734,329.804307091446,1.296752889101603,330.6037121875941,0.9417806864368152,234.1195542746018,22.212095688674903,225.24872029056903,27.64036759358217,1294.4575675055107,99.66799958273168,1377.5321534622838,150.21705720874556,0.05096925163766282,0.0017741847028929943,0.0512132173948652,0.002380436855299388,0.05074784278397496,0.06522824044563912,0.0,0.0
0.1,swap_from_scenario_cvar,9,1,3.479154246491289,0.2830961524502422,3.6028442436592614,,329.7049498406413,1.386713536975716,327.9899002375962,,230.79728037780075,24.084577632926848,211.90327227143044,,1316.942557431111,95.25600773334239,1311.2156973838532,,0.05169523014682545,0.0017368171798366327,0.0538954773173965,,0.08044294818506818,0.058519024503184414,0.0272754247997644,
0.1,top_variance,10,0,3.617539177132033,0.2883566017925206,,,427.0808600969015,4.732568013731356,,,323.3093679386212,45.33849475549613,,,2865.271601702162,267.64633618337996,,,0.11459201976611559,0.00031521410474714734,,,0.246157110426724,0.08594551850813287,,
0.1,validation_swap,30,0,3.4432630615041644,0.18215603811062925,,,343.9137321086793,12.566283235378293,,,245.35905701113649,33.484983637077235,,,1553.2446500118108,229.05449768338042,,,0.05421963950973604,0.005212567048789832,,,0.4365533100341142,0.4368161644638595,,
0.2,coverage,10,0,3.498533696680318,0.27924671184801425,,,303.8237724930781,1.6096314249355272,,,192.72879449794792,24.54699326298879,,,1315.6045890114444,46.291533573883285,,,0.0386308099006583,0.0,,,0.3262702276118,0.056504837587598306,,
